monotonic_s,num_used_tokens_sum,max_total_num_tokens_sum,token_usage_mean,token_usage_aggregate,num_servers_sampled
200.2,59295.0,1371377.0,0.04323756341254083,0.04323756341254083,7
200.8,67766.0,1580642.0,0.04289283979205642,0.04287245309184496,8
200.9,67766.0,1580642.0,0.04289283979205642,0.04287245309184496,8
201.0,67766.0,1580642.0,0.04289283979205642,0.04287245309184496,8
201.1,26063.0,1580642.0,0.01649805295245086,0.016488869712433303,8
201.2,65082.0,1580642.0,0.0411984868497517,0.041174408879430004,8
201.3,65082.0,1580642.0,0.0411984868497517,0.041174408879430004,8
201.4,65082.0,1580642.0,0.0411984868497517,0.041174408879430004,8
201.5,64668.0,1580642.0,0.04093433629159009,0.04091248998824528,8
201.6,64424.0,1580642.0,0.0407787755021715,0.040758122332571194,8
201.7,64424.0,1580642.0,0.0407787755021715,0.040758122332571194,8
201.8,64424.0,1580642.0,0.0407787755021715,0.040758122332571194,8
201.9,64424.0,1580642.0,0.0407787755021715,0.040758122332571194,8
202.0,64424.0,1580642.0,0.0407787755021715,0.040758122332571194,8
202.1,64424.0,1580642.0,0.0407787755021715,0.040758122332571194,8
202.2,64424.0,1580642.0,0.0407787755021715,0.040758122332571194,8
202.3,69544.0,1580642.0,0.044045565013735424,0.04399731248442089,8
202.4,105384.0,1580642.0,0.06670462526186363,0.06667164354736872,8
202.5,105384.0,1580642.0,0.06670462526186363,0.06667164354736872,8
202.6,105384.0,1580642.0,0.06670462526186363,0.06667164354736872,8
202.7,105384.0,1580642.0,0.06670462526186363,0.06667164354736872,8
202.8,105384.0,1580642.0,0.06670462526186363,0.06667164354736872,8
202.9,105384.0,1580642.0,0.06670462526186363,0.06667164354736872,8
203.0,94918.0,1580642.0,0.060026848107951905,0.060050283365872856,8
203.1,23781.0,1580642.0,0.015058239658519846,0.01504515253928467,8
203.2,32301.0,1580642.0,0.020494381580106687,0.02043536740134705,8
203.3,68933.0,1580642.0,0.043867239663624207,0.043610760690909134,8
203.4,76480.0,1580642.0,0.04837527970854333,0.04838540289325476,8
203.5,115745.0,1580642.0,0.07342810982017564,0.07322657502457862,8
203.6,134328.0,1580642.0,0.08528489683060385,0.08498319037454402,8
203.7,152755.0,1580642.0,0.0966545724765964,0.09664111164957023,8
203.8,152755.0,1580642.0,0.0966545724765964,0.09664111164957023,8
203.9,152755.0,1580642.0,0.0966545724765964,0.09664111164957023,8
204.0,192347.0,1580642.0,0.1219160432464868,0.12168916174567043,8
204.1,212098.0,1580642.0,0.13451806661424054,0.13418471734902654,8
204.2,231741.0,1580642.0,0.1466382386509978,0.14661194628511706,8
204.3,231741.0,1580642.0,0.1466382386509978,0.14661194628511706,8
204.4,231741.0,1580642.0,0.1466382386509978,0.14661194628511706,8
204.5,262168.0,1580642.0,0.16605202858622345,0.165861719478541,8
204.6,289978.0,1580642.0,0.18379605521055797,0.1834558362994277,8
204.7,309342.0,1580642.0,0.19573422256482642,0.19570655467841547,8
204.8,309342.0,1580642.0,0.19573422256482642,0.19570655467841547,8
204.9,309342.0,1580642.0,0.19573422256482642,0.19570655467841547,8
205.0,330021.0,1580642.0,0.20892835153155115,0.20878921349679433,8
205.1,370646.0,1580642.0,0.23484892260719262,0.23449079551220328,8
205.2,391673.0,1580642.0,0.24783443718872097,0.24779361803621566,8
205.3,391673.0,1580642.0,0.24783443718872097,0.24779361803621566,8
205.4,391673.0,1580642.0,0.24783443718872097,0.24779361803621566,8
205.5,401854.0,1580642.0,0.25433037156708665,0.2542346717346496,8
205.6,451862.0,1580642.0,0.286237717249565,0.285872449295919,8
205.7,461902.0,1580642.0,0.2922348978578846,0.29222429873431177,8
205.8,472037.0,1580642.0,0.2987014821742323,0.29863625033372515,8
205.9,472037.0,1580642.0,0.2987014821742323,0.29863625033372515,8
206.0,472037.0,1580642.0,0.2987014821742323,0.29863625033372515,8
206.1,510526.0,1580642.0,0.32325918950051824,0.3229864827076593,8
206.2,527692.0,1580642.0,0.33421186699182803,0.33384662687692723,8
206.3,546503.0,1580642.0,0.34583783020552195,0.34574748741334216,8
206.4,546503.0,1580642.0,0.34583783020552195,0.34574748741334216,8
206.5,546503.0,1580642.0,0.34583783020552195,0.34574748741334216,8
206.6,555892.0,1580642.0,0.3518284330813176,0.35168747888516183,8
206.7,571344.0,1580642.0,0.3616875017400453,0.36146325353875197,8
206.8,581264.0,1580642.0,0.36785017406852566,0.3677391844579608,8
206.9,581648.0,1580642.0,0.36809518328189295,0.36798212371934946,8
207.0,584221.0,1580642.0,0.3697368726204191,0.36960994330151925,8
207.1,586406.0,1580642.0,0.37112578890795156,0.3709922930049942,8
207.2,591840.0,1580642.0,0.37459292449502946,0.3744301366153753,8
207.3,592446.0,1580642.0,0.3749795796598747,0.37481352513725436,8
207.4,595933.0,1580642.0,0.377189539884291,0.3770195907738754,8
207.5,597871.0,1580642.0,0.37842607075800405,0.37824567485869665,8
207.6,598310.0,1580642.0,0.3786978663563793,0.3785234101080447,8
207.7,603057.0,1580642.0,0.38172690944415094,0.3815266201960975,8
207.8,607094.0,1580642.0,0.38424292520227693,0.3840806457123118,8
207.9,603379.0,1580642.0,0.38187258867191365,0.3817303348892412,8
208.0,608291.0,1580642.0,0.38501892039983954,0.384837932941172,8
208.1,608306.0,1580642.0,0.3850284910722367,0.38484742275607,8
208.2,618950.0,1580642.0,0.39185742114768174,0.39158139540768877,8
208.3,633521.0,1580642.0,0.40094211938596513,0.4007998015996032,8
208.4,641901.0,1580642.0,0.40628893503184516,0.40610144485595095,8
208.5,639255.0,1580642.0,0.40461683270499577,0.40442744150794424,8
208.6,657859.0,1580642.0,0.41639316809093074,0.41619734259876684,8
208.7,659875.0,1580642.0,0.41767458053143364,0.4174727737210576,8
208.8,658726.0,1580642.0,0.41694146702581114,0.41674585389987107,8
208.9,664815.0,1580642.0,0.42082652197423154,0.42059808609413135,8
209.0,681302.0,1580642.0,0.431323410319695,0.4310286579756833,8
209.1,691186.0,1580642.0,0.4374065991145094,0.4372818133391369,8
209.2,684374.0,1580642.0,0.4330553518268704,0.4329721720667931,8
209.3,679355.0,1580642.0,0.42997902111232666,0.4297968800019233,8
209.4,689669.0,1580642.0,0.4364649469847488,0.4363220767257861,8
209.5,723532.0,1580642.0,0.45807105894375066,0.45774565018517793,8
209.6,740370.0,1580642.0,0.468549681059647,0.468398283735343,8
209.7,737336.0,1580642.0,0.4666138530561148,0.46647881050864143,8
209.8,737057.0,1580642.0,0.4664520435496179,0.46630229995153866,8
209.9,747989.0,1580642.0,0.4734271495926681,0.473218477049199,8
210.0,770002.0,1580642.0,0.4874131070284374,0.48714509673917306,8
210.1,778783.0,1580642.0,0.4929183450687901,0.4927004343804606,8
210.2,783935.0,1580642.0,0.49620070680120654,0.4959598694707594,8
210.3,780260.0,1580642.0,0.49385589206390235,0.49363486482075003,8
210.4,790076.0,1580642.0,0.5001320099424856,0.4998449996899994,8
210.5,795351.0,1580642.0,0.5034153277710416,0.5031822512624617,8
210.6,795388.0,1580642.0,0.5034389354296211,0.5032056594725435,8
210.7,793307.0,1580642.0,0.5021111641457219,0.501889105819028,8
210.8,794661.0,1580642.0,0.5029282940641298,0.5027457197771539,8
210.9,793279.0,1580642.0,0.5020418337646658,0.5018713914978851,8
211.0,798442.0,1580642.0,0.5053360592037683,0.5051377857857756,8
211.1,799100.0,1580642.0,0.5055520272838822,0.5055540723326345,8
211.2,814850.0,1580642.0,0.5156012333009,0.5155183779755315,8
211.3,817569.0,1580642.0,0.5173360771840919,0.517238565089375,8
211.4,816799.0,1580642.0,0.5168447826677044,0.5167514212579446,8
211.5,822658.0,1580642.0,0.520599536602609,0.5204581429571022,8
211.6,816548.0,1580642.0,0.5167010827128325,0.5165926250219848,8
211.7,825304.0,1580642.0,0.5223643087289694,0.522132146305109,8
211.8,829578.0,1580642.0,0.5250913123173335,0.5248361108967116,8
211.9,848419.0,1580642.0,0.5369657705580037,0.5367559510629225,8
212.0,852252.0,1580642.0,0.5394069176090222,0.5391809150965241,8
212.1,851586.0,1580642.0,0.539056815910784,0.538759567315053,8
212.2,859938.0,1580642.0,0.5443857663015226,0.5440434962502578,8
212.3,873196.0,1580642.0,0.5526337703007376,0.5524312273114342,8
212.4,873550.0,1580642.0,0.5528973412599728,0.552655186943027,8
212.5,868652.0,1580642.0,0.5497721976998868,0.5495564460516676,8
212.6,868316.0,1580642.0,0.5497193760461254,0.5493438741979525,8
212.7,875991.0,1580642.0,0.5543977654524431,0.5541994961540944,8
212.8,876203.0,1580642.0,0.5545287150511097,0.5543336188713194,8
212.9,867651.0,1580642.0,0.5490721556950755,0.5489231590708079,8
213.0,865819.0,1580642.0,0.548116691267625,0.5477641363445992,8
213.1,881637.0,1580642.0,0.5579664129118929,0.5577714624817005,8
213.2,888179.0,1580642.0,0.5621363084104029,0.5619102870858803,8
213.3,887309.0,1580642.0,0.5615812094113675,0.5613598778217964,8
213.4,872089.0,1580642.0,0.5519958576932835,0.551730878971962,8
213.5,881292.0,1580642.0,0.5576475509512335,0.5575531967390466,8
213.6,885721.0,1580642.0,0.560469339163558,0.5603552227512618,8
213.7,894741.0,1580642.0,0.5662245034983835,0.5660617647765908,8
213.8,881601.0,1580642.0,0.5581280907237911,0.5577486869259453,8
213.9,891207.0,1580642.0,0.5639927798154097,0.5638259643866227,8
214.0,904594.0,1580642.0,0.5725303364476407,0.5722953078559219,8
214.1,915714.0,1580642.0,0.5796253949180687,0.5793304239669704,8
214.2,913321.0,1580642.0,0.5780154521277452,0.5778164821635766,8
214.3,910956.0,1580642.0,0.5765235768669903,0.5763202546813256,8
214.4,907531.0,1580642.0,0.5744102186507765,0.5741534136129497,8
214.5,918377.0,1580642.0,0.5812168142577148,0.5810151824385281,8
214.6,919535.0,1580642.0,0.5819518021391158,0.5817477961486536,8
214.7,927464.0,1580642.0,0.5870108595682545,0.5867641123037348,8
214.8,917179.0,1580642.0,0.5804485685279351,0.5802572625553415,8
214.9,931060.0,1580642.0,0.5892534371936266,0.589039137261948,8
215.0,934301.0,1580642.0,0.591317553880741,0.5910895699342419,8
215.1,930944.0,1580642.0,0.589264887046995,0.5889657493600702,8
