monotonic_s,running_reqs_sum,queue_reqs_sum,gen_throughput_sum,decode_sum_seq_lens_sum,num_servers_sampled
200.7,203.0,303.0,0.0,0.0,8
200.8,231.0,376.0,0.0,0.0,8
200.9,231.0,376.0,0.0,0.0,8
201.0,231.0,376.0,0.0,0.0,8
201.1,231.0,376.0,0.0,0.0,8
201.2,290.0,368.0,0.0,0.0,8
201.3,396.0,0.0,0.0,0.0,8
201.4,396.0,0.0,0.0,0.0,8
201.5,396.0,0.0,0.0,0.0,8
201.6,1408.0,0.0,0.0,0.0,8
201.7,1408.0,0.0,0.0,0.0,8
201.8,1408.0,0.0,0.0,0.0,8
201.9,1408.0,0.0,0.0,0.0,8
202.0,1408.0,0.0,0.0,0.0,8
202.1,1408.0,0.0,0.0,0.0,8
202.2,1408.0,0.0,0.0,0.0,8
202.3,1408.0,0.0,0.0,0.0,8
202.4,1408.0,0.0,0.0,0.0,8
202.5,1408.0,0.0,0.0,0.0,8
202.6,1408.0,0.0,0.0,0.0,8
202.7,1408.0,0.0,0.0,0.0,8
202.8,1408.0,0.0,0.0,0.0,8
202.9,1729.0,0.0,1427.9009796174942,332845.0,8
203.0,2040.0,0.0,2852.401453743816,665664.0,8
203.1,2040.0,0.0,2852.401453743816,665664.0,8
203.2,2040.0,0.0,2852.401453743816,665664.0,8
203.3,2040.0,0.0,2852.401453743816,665664.0,8
203.4,2000.0,0.0,2852.401453743816,665664.0,8
203.5,1864.0,0.0,2852.401453743816,665664.0,8
203.6,1831.0,0.0,2852.401453743816,665664.0,8
203.7,1767.0,0.0,2852.401453743816,665664.0,8
203.8,1769.0,0.0,2852.401453743816,665664.0,8
203.9,1780.0,23.0,2852.401453743816,665664.0,8
204.0,1786.0,43.0,2852.401453743816,665664.0,8
204.1,1756.0,53.0,2852.401453743816,665664.0,8
204.2,1741.0,53.0,2852.401453743816,665664.0,8
204.3,1741.0,53.0,2852.401453743816,665664.0,8
204.4,1765.0,122.0,2852.401453743816,665664.0,8
204.5,1776.0,134.0,2852.401453743816,665664.0,8
204.6,1791.0,123.0,2852.401453743816,665664.0,8
204.7,1791.0,123.0,2852.401453743816,665664.0,8
204.8,1791.0,123.0,2852.401453743816,665664.0,8
204.9,1820.0,88.0,2852.401453743816,665664.0,8
205.0,1835.0,82.0,2852.401453743816,665664.0,8
205.1,1891.0,47.0,2852.401453743816,665664.0,8
205.2,1891.0,47.0,2852.401453743816,665664.0,8
205.3,1923.0,47.0,2852.401453743816,665664.0,8
205.4,1969.0,26.0,2852.401453743816,665664.0,8
205.5,2000.0,10.0,2852.401453743816,665664.0,8
205.6,2047.0,0.0,2852.401453743816,665664.0,8
205.7,2047.0,0.0,2852.401453743816,665664.0,8
205.8,1984.0,0.0,2852.401453743816,665664.0,8
205.9,2048.0,0.0,2852.401453743816,665664.0,8
206.0,2019.0,0.0,2852.401453743816,665664.0,8
206.1,2030.0,0.0,2852.401453743816,665664.0,8
206.2,2030.0,0.0,2852.401453743816,665664.0,8
206.3,2043.0,0.0,2852.401453743816,665664.0,8
206.4,2042.0,0.0,2852.401453743816,665664.0,8
206.5,2042.0,0.0,2852.401453743816,665664.0,8
206.6,2042.0,0.0,2852.401453743816,665664.0,8
206.7,2078.0,0.0,2852.401453743816,665664.0,8
206.8,2078.0,0.0,2852.401453743816,665664.0,8
206.9,2054.0,0.0,2852.401453743816,665664.0,8
207.0,2060.0,0.0,2852.401453743816,665664.0,8
207.1,2071.0,0.0,2852.401453743816,665664.0,8
207.2,2071.0,0.0,2852.401453743816,665664.0,8
