monotonic_s,num_running_reqs_sum,num_queue_reqs_sum,num_used_tokens_sum,max_total_num_tokens_sum,token_usage_mean,pending_prealloc_token_usage_mean,num_servers_sampled
1208.6,499.0,5379.0,1515437.0,1580642.0,0.9588942447556356,0.0,8
1208.7,498.0,5378.0,1511997.0,1580642.0,0.9566993705525535,0.0,8
1208.8,500.0,5376.0,1523519.0,1580642.0,0.9637258458554854,0.0,8
1208.9,493.0,5371.0,1516598.0,1580642.0,0.9593099376114358,0.0,8
1209.0,495.0,5369.0,1508889.0,1580642.0,0.954391250044122,0.0,8
1209.1,496.0,5364.0,1508351.0,1580642.0,0.9540479819274772,0.0,8
1209.2,497.0,5360.0,1508966.0,1580642.0,0.9544403794957607,0.0,8
1209.3,497.0,5360.0,1508966.0,1580642.0,0.9544403794957607,0.0,8
1209.4,502.0,5359.0,1512785.0,1580642.0,0.9568770726880775,0.0,8
1209.5,502.0,5358.0,1516431.0,1580642.0,0.959203384125414,0.0,8
1209.6,500.0,5352.0,1521911.0,1580642.0,0.9626504811687071,0.0,8
1209.7,500.0,5350.0,1522144.0,1580642.0,0.9627991456132763,0.0,8
1209.8,494.0,5346.0,1530337.0,1580642.0,0.968026646876605,0.0,8
1209.9,496.0,5345.0,1530413.0,1580642.0,0.9680751382834173,0.0,8
1210.0,493.0,5342.0,1534593.0,1580642.0,0.9707421656580923,0.0,8
1210.1,496.0,5343.0,1519062.0,1580642.0,0.9609911584438802,0.0,8
1210.2,495.0,5338.0,1514526.0,1580642.0,0.9580969871109791,0.0,8
1210.3,495.0,5332.0,1518676.0,1580642.0,0.96074487314086,0.0,8
1210.4,492.0,5329.0,1516323.0,1580642.0,0.959081218650692,0.0,8
1210.5,492.0,5329.0,1516323.0,1580642.0,0.959081218650692,0.0,8
1210.6,495.0,5324.0,1513744.0,1580642.0,0.957435701043207,0.0,8
1210.7,492.0,5321.0,1524667.0,1580642.0,0.9644050646828188,0.0,8
1210.8,489.0,5314.0,1528842.0,1580642.0,0.9670678432152654,0.0,8
1210.9,494.0,5310.0,1523401.0,1580642.0,0.9635962413144021,0.0,8
1211.0,494.0,5307.0,1523528.0,1580642.0,0.9636772730073648,0.0,8
1211.1,494.0,5307.0,1523528.0,1580642.0,0.9636772730073648,0.0,8
1211.2,492.0,5305.0,1523311.0,1580642.0,0.9635533529208038,0.0,8
1211.3,490.0,5304.0,1523318.0,1580642.0,0.963557819234589,0.0,8
1211.4,489.0,5302.0,1523515.0,1580642.0,0.9636835140654052,0.0,8
1211.5,486.0,5292.0,1531627.0,1580642.0,0.9688593336977893,0.0,8
1211.6,483.0,5287.0,1536156.0,1580642.0,0.971749038716905,0.0,8
1211.7,485.0,5283.0,1529146.0,1580642.0,0.9672763444832989,0.0,8
1211.8,486.0,5281.0,1524779.0,1580642.0,0.9644900027260724,0.0,8
1211.9,489.0,5280.0,1505282.0,1580642.0,0.9520500427442439,0.0,8
1212.0,489.0,5273.0,1498039.0,1580642.0,0.9477235906380628,0.0,8
1212.1,492.0,5274.0,1498100.0,1580642.0,0.9477625113724778,0.0,8
1212.2,492.0,5274.0,1498100.0,1580642.0,0.9477625113724778,0.0,8
1212.3,491.0,5264.0,1505465.0,1580642.0,0.9524617115194833,0.0,8
1212.4,489.0,5262.0,1513571.0,1580642.0,0.9576337028829086,0.0,8
1212.5,486.0,5256.0,1537324.0,1580642.0,0.9724892262802325,0.0,8
1212.6,488.0,5254.0,1541373.0,1580642.0,0.9750726697826392,0.0,8
1212.7,489.0,5253.0,1537345.0,1580642.0,0.9725026252215886,0.0,8
1212.8,489.0,5252.0,1533974.0,1580642.0,0.9703517761115336,0.0,8
1212.9,489.0,5252.0,1533974.0,1580642.0,0.9703517761115336,0.0,8
1213.0,492.0,5251.0,1534107.0,1580642.0,0.9704340302442949,0.0,8
1213.1,492.0,5242.0,1547009.0,1580642.0,0.9786660845955053,0.0,8
1213.2,493.0,5242.0,1535294.0,1580642.0,0.9711913894533234,0.0,8
1213.3,492.0,5240.0,1528161.0,1580642.0,0.9666402157060605,0.0,8
1213.4,484.0,5235.0,1516688.0,1580642.0,0.9593199274118861,0.0,8
1213.5,484.0,5235.0,1516688.0,1580642.0,0.9593199274118861,0.0,8
1213.6,486.0,5235.0,1515774.0,1580642.0,0.9587367544404859,0.0,8
1213.7,483.0,5233.0,1503315.0,1580642.0,0.9512968749803932,0.0,8
1213.8,487.0,5222.0,1508252.0,1580642.0,0.9544469022887117,0.0,8
1213.9,487.0,5222.0,1508252.0,1580642.0,0.9544469022887117,0.0,8
1214.0,481.0,5217.0,1508038.0,1580642.0,0.9543103606958454,0.0,8
1214.1,480.0,5210.0,1507470.0,1580642.0,0.9539479512344065,0.0,8
1214.2,480.0,5210.0,1507470.0,1580642.0,0.9539479512344065,0.0,8
1214.3,481.0,5205.0,1519584.0,1580642.0,0.9613306102679602,0.0,8
1214.4,481.0,5205.0,1519584.0,1580642.0,0.9613306102679602,0.0,8
1214.5,481.0,5203.0,1519576.0,1580642.0,0.9613255059093484,0.0,8
1214.6,485.0,5197.0,1523630.0,1580642.0,0.9639121396358875,0.0,8
1214.7,488.0,5194.0,1515174.0,1580642.0,0.9585168325831952,0.0,8
1214.8,488.0,5194.0,1515174.0,1580642.0,0.9585168325831952,0.0,8
1214.9,492.0,5194.0,1518575.0,1580642.0,0.9605507906126638,0.0,8
1215.0,492.0,5194.0,1518575.0,1580642.0,0.9605507906126638,0.0,8
1215.1,494.0,5194.0,1518638.0,1580642.0,0.9605884223236523,0.0,8
1215.2,490.0,5177.0,1524135.0,1580642.0,0.964373356972525,0.0,8
1215.3,482.0,5166.0,1536253.0,1580642.0,0.9721051841797774,0.0,8
1215.4,482.0,5166.0,1536253.0,1580642.0,0.9721051841797774,0.0,8
1215.5,482.0,5166.0,1536253.0,1580642.0,0.9721051841797774,0.0,8
1215.6,486.0,5164.0,1532407.0,1580642.0,0.9696512637771455,0.0,8
1215.7,488.0,5163.0,1535870.0,1580642.0,0.9718608130112365,0.0,8
